iter	Passed	Remaining
0	74	74814
1	94	46934
2	113	37652
3	137	34244
4	151	30176
5	169	28080
6	181	25739
7	193	23981
8	210	23125
9	221	21963
10	232	20936
11	253	20859
12	265	20160
13	281	19810
14	293	19270
15	306	18819
16	319	18487
17	331	18088
18	342	17702
19	355	17425
20	367	17146
21	383	17061
22	398	16918
23	410	16678
24	423	16497
25	437	16372
26	456	16434
27	480	16687
28	495	16596
29	515	16653
30	527	16496
31	540	16351
32	551	16169
33	563	16010
34	579	15979
35	591	15851
36	604	15736
37	616	15601
38	630	15530
39	644	15472
40	657	15367
41	669	15265
42	685	15251
43	696	15132
44	707	15024
45	724	15033
46	737	14950
47	749	14868
48	763	14818
49	774	14717
50	786	14640
51	802	14628
52	816	14588
53	828	14517
54	840	14449
55	852	14363
56	864	14301
57	880	14300
58	892	14236
59	904	14166
60	922	14203
61	934	14139
62	946	14082
63	967	14155
64	980	14102
65	994	14079
66	1007	14035
67	1020	13982
68	1033	13943
69	1044	13879
70	1057	13834
71	1075	13858
72	1087	13809
73	1100	13766
74	1112	13718
75	1123	13654
76	1135	13609
77	1147	13559
78	1160	13523
79	1174	13505
80	1186	13460
81	1199	13423
82	1210	13377
83	1222	13335
84	1234	13288
85	1246	13243
86	1257	13201
87	1274	13206
88	1285	13162
89	1297	13123
90	1309	13083
91	1321	13041
92	1334	13019
93	1347	12987
94	1360	12963
95	1378	12984
96	1390	12947
97	1402	12909
98	1418	12909
99	1431	12887
100	1443	12852
101	1457	12830
102	1470	12803
103	1484	12790
104	1497	12760
105	1508	12721
106	1530	12771
107	1543	12745
108	1558	12738
109	1573	12732
110	1585	12698
111	1604	12724
112	1619	12709
113	1631	12681
114	1645	12664
115	1658	12636
116	1670	12608
117	1681	12568
118	1693	12540
119	1712	12556
120	1724	12529
121	1737	12500
122	1756	12527
123	1770	12504
124	1783	12481
125	1795	12451
126	1807	12427
127	1820	12405
128	1833	12380
129	1846	12359
130	1858	12325
131	1870	12300
132	1888	12307
133	1900	12279
134	1912	12254
135	1931	12267
136	1943	12240
137	1953	12205
138	1966	12182
139	1979	12158
140	1991	12134
141	2002	12101
142	2016	12085
143	2035	12101
144	2048	12078
145	2064	12074
146	2078	12063
147	2091	12038
148	2103	12015
149	2115	11990
150	2127	11962
151	2144	11963
152	2156	11937
153	2168	11914
154	2180	11886
155	2191	11858
156	2204	11834
157	2222	11841
158	2234	11818
159	2249	11807
160	2261	11785
161	2272	11755
162	2284	11733
163	2296	11708
164	2308	11683
165	2320	11659
166	2333	11640
167	2346	11620
168	2358	11598
169	2367	11558
170	2383	11556
171	2396	11538
172	2408	11515
173	2425	11512
174	2437	11490
175	2448	11463
176	2461	11443
177	2473	11420
178	2487	11409
179	2498	11382
180	2510	11359
181	2522	11338
182	2535	11318
183	2543	11280
184	2553	11247
185	2564	11224
186	2576	11199
187	2582	11152
188	2594	11133
189	2604	11102
190	2614	11073
191	2626	11052
192	2638	11031
193	2651	11014
194	2660	10983
195	2672	10961
196	2685	10945
197	2697	10925
198	2707	10899
199	2719	10876
200	2731	10858
201	2744	10841
202	2752	10804
203	2764	10786
204	2779	10779
205	2788	10748
206	2800	10726
207	2812	10707
208	2823	10687
209	2831	10653
210	2844	10636
211	2855	10613
212	2866	10592
213	2877	10570
214	2887	10541
215	2899	10523
216	2910	10500
217	2919	10472
218	2930	10450
219	2938	10418
220	2943	10374
221	2956	10361
222	2968	10343
223	2977	10316
224	2989	10297
225	2999	10271
226	3011	10255
227	3022	10235
228	3034	10216
229	3046	10198
230	3058	10180
231	3066	10150
232	3076	10128
233	3088	10110
234	3099	10091
235	3111	10073
236	3122	10053
237	3131	10027
238	3142	10004
239	3153	9986
240	3160	9952
241	3172	9935
242	3183	9916
243	3191	9887
244	3202	9870
245	3210	9840
246	3222	9823
247	3232	9802
248	3244	9784
249	3255	9766
250	3267	9748
251	3278	9731
252	3286	9704
253	3298	9687
254	3311	9673
255	3323	9659
256	3335	9642
257	3347	9627
258	3360	9614
259	3372	9597
260	3385	9584
261	3397	9570
262	3410	9557
263	3418	9530
264	3430	9514
265	3442	9500
266	3453	9480
267	3465	9464
268	3481	9460
269	3496	9453
270	3511	9445
271	3521	9424
272	3529	9398
273	3541	9383
274	3554	9369
275	3562	9344
276	3571	9322
277	3583	9307
278	3592	9282
279	3601	9260
280	3624	9272
281	3640	9268
282	3652	9253
283	3665	9240
284	3678	9227
285	3691	9215
286	3703	9200
287	3715	9184
288	3728	9172
289	3736	9147
290	3748	9133
291	3760	9117
292	3768	9093
293	3777	9072
294	3790	9058
295	3801	9040
296	3810	9020
297	3823	9007
298	3831	8983
299	3843	8969
300	3855	8954
301	3865	8933
302	3874	8912
303	3882	8889
304	3894	8873
305	3906	8859
306	3918	8844
307	3926	8821
308	3935	8799
309	3943	8778
310	3953	8759
311	3966	8745
312	3976	8727
313	3985	8707
314	3993	8683
315	4002	8664
316	4011	8642
317	4021	8624
318	4033	8609
319	4041	8587
320	4052	8573
321	4062	8554
322	4070	8532
323	4083	8519
324	4095	8505
325	4103	8483
326	4115	8470
327	4125	8451
328	4136	8436
329	4147	8421
330	4157	8403
331	4167	8384
332	4176	8366
333	4184	8344
334	4193	8324
335	4205	8310
336	4215	8294
337	4224	8274
338	4233	8255
339	4244	8239
340	4254	8221
341	4262	8200
342	4271	8182
343	4280	8163
344	4289	8143
345	4298	8125
346	4307	8105
347	4318	8090
348	4326	8070
349	4335	8052
350	4345	8034
351	4353	8014
352	4363	7996
353	4372	7978
354	4382	7963
355	4396	7953
356	4407	7938
357	4416	7920
358	4426	7903
359	4434	7883
360	4443	7865
361	4452	7846
362	4460	7827
363	4470	7810
364	4478	7791
365	4490	7778
366	4498	7759
367	4507	7740
368	4516	7723
369	4525	7705
370	4535	7689
371	4543	7669
372	4553	7653
373	4563	7638
374	4572	7621
375	4581	7604
376	4592	7588
377	4601	7572
378	4610	7554
379	4618	7535
380	4627	7518
381	4635	7499
382	4645	7483
383	4653	7465
384	4663	7448
385	4671	7430
386	4680	7413
387	4688	7395
388	4697	7377
389	4706	7361
390	4714	7342
391	4723	7326
392	4732	7309
393	4743	7296
394	4753	7280
395	4761	7262
396	4770	7245
397	4778	7227
398	4787	7211
399	4795	7193
400	4805	7178
401	4814	7161
402	4822	7144
403	4834	7131
404	4842	7114
405	4851	7098
406	4860	7081
407	4869	7065
408	4878	7050
409	4887	7032
410	4896	7017
411	4904	7000
412	4916	6988
413	4926	6972
414	4934	6955
415	4943	6939
416	4950	6921
417	4959	6904
418	4967	6887
419	4975	6871
420	4983	6853
421	4991	6837
422	4999	6819
423	5008	6803
424	5016	6786
425	5024	6770
426	5032	6753
427	5040	6736
428	5048	6719
429	5056	6703
430	5065	6686
431	5073	6670
432	5081	6653
433	5090	6638
434	5099	6623
435	5108	6608
436	5118	6593
437	5126	6577
438	5134	6561
439	5142	6545
440	5151	6529
441	5159	6513
442	5167	6497
443	5176	6481
444	5184	6465
445	5192	6449
446	5200	6433
447	5208	6418
448	5217	6402
449	5226	6387
450	5234	6371
451	5243	6357
452	5251	6341
453	5262	6329
454	5275	6318
455	5283	6303
456	5293	6289
457	5301	6274
458	5311	6259
459	5320	6246
460	5329	6230
461	5338	6217
462	5347	6201
463	5356	6187
464	5365	6173
465	5374	6158
466	5383	6144
467	5392	6129
468	5401	6115
469	5409	6100
470	5419	6086
471	5428	6072
472	5436	6057
473	5447	6045
474	5456	6031
475	5466	6017
476	5474	6002
477	5483	5988
478	5492	5974
479	5501	5959
480	5510	5945
481	5518	5931
482	5528	5917
483	5536	5902
484	5545	5888
485	5554	5874
486	5562	5859
487	5572	5846
488	5580	5831
489	5589	5818
490	5598	5803
491	5607	5789
492	5615	5775
493	5625	5762
494	5635	5749
495	5644	5736
496	5654	5722
497	5662	5707
498	5671	5694
499	5680	5680
500	5689	5666
501	5698	5653
502	5707	5639
503	5716	5625
504	5724	5611
505	5734	5598
506	5743	5584
507	5751	5570
508	5761	5557
509	5769	5543
510	5779	5530
511	5787	5516
512	5797	5504
513	5807	5491
514	5816	5477
515	5826	5464
516	5834	5450
517	5843	5437
518	5851	5423
519	5860	5409
520	5869	5396
521	5877	5382
522	5886	5369
523	5895	5355
524	5905	5342
525	5913	5329
526	5922	5315
527	5932	5303
528	5941	5290
529	5951	5277
530	5959	5263
531	5969	5251
532	5979	5239
533	5988	5226
534	5998	5213
535	6006	5199
536	6016	5187
537	6024	5173
538	6033	5160
539	6042	5146
540	6050	5133
541	6059	5120
542	6067	5106
543	6076	5093
544	6085	5080
545	6094	5067
546	6102	5053
547	6111	5040
548	6120	5028
549	6128	5014
550	6137	5001
551	6145	4987
552	6158	4977
553	6167	4964
554	6175	4951
555	6184	4939
556	6193	4925
557	6204	4914
558	6212	4901
559	6221	4888
560	6230	4875
561	6238	4862
562	6248	4849
563	6256	4836
564	6265	4824
565	6274	4810
566	6283	4798
567	6292	4785
568	6301	4772
569	6310	4760
570	6318	4747
571	6330	4736
572	6338	4723
573	6347	4710
574	6356	4698
575	6364	4685
576	6374	4672
577	6382	4659
578	6391	4647
579	6399	4634
580	6409	4622
581	6417	4609
582	6426	4596
583	6435	4584
584	6443	4571
585	6453	4559
586	6461	4546
587	6471	4534
588	6480	4521
589	6489	4509
590	6498	4497
591	6507	4485
592	6519	4474
593	6528	4461
594	6536	4449
595	6545	4436
596	6554	4424
597	6563	4412
598	6571	4399
599	6581	4387
600	6590	4375
601	6599	4362
602	6608	4350
603	6616	4337
604	6625	4325
605	6633	4313
606	6642	4300
607	6651	4288
608	6660	4276
609	6668	4263
610	6677	4251
611	6688	4240
612	6697	4228
613	6707	4216
614	6714	4203
615	6724	4191
616	6733	4179
617	6741	4166
618	6751	4155
619	6759	4143
620	6768	4131
621	6777	4118
622	6786	4106
623	6795	4094
624	6803	4082
625	6812	4070
626	6820	4057
627	6829	4045
628	6837	4032
629	6845	4020
630	6853	4007
631	6867	3998
632	6879	3988
633	6890	3977
634	6899	3965
635	6907	3953
636	6915	3941
637	6924	3928
638	6932	3916
639	6940	3903
640	6948	3891
641	6956	3879
642	6964	3866
643	6973	3854
644	6981	3842
645	6989	3830
646	6997	3817
647	7006	3805
648	7014	3793
649	7022	3781
650	7030	3768
651	7040	3757
652	7049	3745
653	7058	3734
654	7067	3722
655	7075	3710
656	7083	3698
657	7091	3685
658	7101	3674
659	7109	3662
660	7118	3650
661	7126	3638
662	7140	3629
663	7150	3618
664	7160	3607
665	7169	3595
666	7178	3583
667	7186	3571
668	7196	3560
669	7204	3548
670	7215	3537
671	7225	3526
672	7233	3514
673	7243	3503
674	7252	3491
675	7260	3479
676	7269	3468
677	7277	3456
678	7286	3444
679	7294	3432
680	7303	3421
681	7311	3409
682	7320	3397
683	7334	3388
684	7342	3376
685	7353	3365
686	7362	3354
687	7371	3342
688	7380	3331
689	7390	3320
690	7403	3310
691	7412	3299
692	7420	3287
693	7430	3276
694	7444	3267
695	7453	3255
696	7462	3244
697	7471	3232
698	7485	3223
699	7495	3212
700	7503	3200
701	7517	3191
702	7527	3180
703	7535	3168
704	7546	3157
705	7556	3146
706	7567	3136
707	7576	3124
708	7590	3115
709	7599	3103
710	7608	3092
711	7621	3082
712	7632	3072
713	7641	3060
714	7651	3049
715	7659	3038
716	7669	3026
717	7679	3016
718	7687	3004
719	7697	2993
720	7705	2981
721	7714	2970
722	7723	2958
723	7732	2947
724	7742	2936
725	7752	2925
726	7761	2914
727	7769	2902
728	7778	2891
729	7786	2879
730	7795	2868
731	7803	2857
732	7811	2845
733	7820	2834
734	7830	2823
735	7839	2811
736	7847	2800
737	7856	2789
738	7864	2777
739	7873	2766
740	7882	2754
741	7890	2743
742	7899	2732
743	7907	2720
744	7917	2709
745	7926	2698
746	7938	2688
747	7947	2677
748	7955	2665
749	7964	2654
750	7972	2643
751	7981	2632
752	7989	2620
753	7999	2609
754	8007	2598
755	8016	2587
756	8025	2576
757	8033	2564
758	8042	2553
759	8051	2542
760	8061	2531
761	8069	2520
762	8079	2509
763	8088	2498
764	8097	2487
765	8108	2477
766	8116	2465
767	8125	2454
768	8134	2443
769	8143	2432
770	8152	2421
771	8160	2409
772	8169	2398
773	8177	2387
774	8186	2376
775	8194	2365
776	8203	2354
777	8211	2343
778	8220	2332
779	8229	2321
780	8237	2309
781	8246	2298
782	8254	2287
783	8263	2276
784	8272	2265
785	8283	2255
786	8293	2244
787	8301	2233
788	8310	2222
789	8318	2211
790	8327	2200
791	8336	2189
792	8345	2178
793	8355	2167
794	8364	2156
795	8373	2145
796	8381	2134
797	8390	2123
798	8398	2112
799	8407	2101
800	8416	2091
801	8425	2080
802	8434	2069
803	8442	2058
804	8453	2047
805	8461	2036
806	8472	2026
807	8481	2015
808	8489	2004
809	8498	1993
810	8506	1982
811	8515	1971
812	8523	1960
813	8533	1949
814	8541	1938
815	8550	1927
816	8559	1917
817	8567	1906
